game_id,season,game_type,game_date,start_time_utc,eastern_utc_offset,game_state,venue,home_abbrev,away_abbrev,home_score,away_score,winner_abbrev,loser_abbrev,goal_diff
2024020194,20242025,2,2024-11-05,2024-11-06T00:00:00Z,-05:00,OFF,KeyBank Center,BUF,OTT,5.0,1.0,BUF,OTT,4.0
2024020195,20242025,2,2024-11-05,2024-11-06T00:00:00Z,-05:00,OFF,Scotiabank Arena,TOR,BOS,4.0,0.0,TOR,BOS,4.0
2024020196,20242025,2,2024-11-05,2024-11-06T00:00:00Z,-05:00,OFF,Centre Bell,MTL,CGY,2.0,3.0,CGY,MTL,1.0
2024020197,20242025,2,2024-11-05,2024-11-06T00:00:00Z,-05:00,OFF,Lenovo Center,CAR,PHI,6.0,4.0,CAR,PHI,2.0
2024020198,20242025,2,2024-11-05,2024-11-06T00:30:00Z,-05:00,OFF,UBS Arena,NYI,PIT,4.0,3.0,NYI,PIT,1.0
2024020199,20242025,2,2024-11-05,2024-11-06T01:00:00Z,-05:00,OFF,Enterprise Center,STL,TBL,3.0,2.0,STL,TBL,1.0
2024020200,20242025,2,2024-11-05,2024-11-06T01:00:00Z,-05:00,OFF,Xcel Energy Center,MIN,LAK,1.0,5.0,LAK,MIN,4.0
2024020201,20242025,2,2024-11-05,2024-11-06T01:00:00Z,-05:00,OFF,Canada Life Centre,WPG,UTA,3.0,0.0,WPG,UTA,3.0
2024020202,20242025,2,2024-11-05,2024-11-06T02:00:00Z,-05:00,OFF,Ball Arena,COL,SEA,6.0,3.0,COL,SEA,3.0
2024020203,20242025,2,2024-11-05,2024-11-06T03:00:00Z,-05:00,OFF,Honda Center,ANA,VAN,1.0,5.0,VAN,ANA,4.0
2024020204,20242025,2,2024-11-05,2024-11-06T03:30:00Z,-05:00,OFF,SAP Center at San Jose,SJS,CBJ,2.0,1.0,SJS,CBJ,1.0
2024020205,20242025,2,2024-11-06,2024-11-07T00:00:00Z,-05:00,OFF,Capital One Arena,WSH,NSH,3.0,2.0,WSH,NSH,1.0
2024020206,20242025,2,2024-11-06,2024-11-07T01:00:00Z,-05:00,OFF,United Center,CHI,DET,1.0,4.0,DET,CHI,3.0
2024020207,20242025,2,2024-11-06,2024-11-07T01:30:00Z,-05:00,OFF,Rogers Place,EDM,VGK,2.0,4.0,VGK,EDM,2.0
2024020208,20242025,2,2024-11-07,2024-11-08T00:00:00Z,-05:00,OFF,TD Garden,BOS,CGY,4.0,3.0,BOS,CGY,1.0
2024020209,20242025,2,2024-11-07,2024-11-08T00:00:00Z,-05:00,OFF,Canadian Tire Centre,OTT,NYI,2.0,4.0,NYI,OTT,2.0
2024020210,20242025,2,2024-11-07,2024-11-08T00:30:00Z,-05:00,OFF,Amalie Arena,TBL,PHI,1.0,2.0,PHI,TBL,1.0
2024020211,20242025,2,2024-11-07,2024-11-08T00:00:00Z,-05:00,OFF,Amerant Bank Arena,FLA,NSH,6.0,2.0,FLA,NSH,4.0
2024020212,20242025,2,2024-11-07,2024-11-08T00:00:00Z,-05:00,OFF,Prudential Center,NJD,MTL,5.0,3.0,NJD,MTL,2.0
2024020213,20242025,2,2024-11-07,2024-11-08T00:00:00Z,-05:00,OFF,Madison Square Garden,NYR,BUF,1.0,6.0,BUF,NYR,5.0
2024020214,20242025,2,2024-11-07,2024-11-08T00:00:00Z,-05:00,OFF,Lenovo Center,CAR,PIT,5.0,1.0,CAR,PIT,4.0
2024020215,20242025,2,2024-11-07,2024-11-08T01:00:00Z,-05:00,OFF,Enterprise Center,STL,UTA,2.0,4.0,UTA,STL,2.0
